tempo(s),Vbb(V),Vbe(V),Vce(V)
0.2012,4.8,0.72,1.2
0.2016,4.8,0.72,1.2
0.20199999999999999,4.72,0.72,1.2
0.2024,4.72,0.72,1.28
0.2028,4.72,0.72,1.28
0.2032,4.72,0.72,1.28
0.2036,4.72,0.72,1.28
0.204,4.72,0.72,1.28
0.2044,4.72,0.8,1.36
0.2048,4.72,0.72,1.36
0.2052,4.72,0.72,1.36
0.2056,4.72,0.72,1.44
0.206,4.72,0.72,1.44
0.2064,4.72,0.8,1.44
0.2068,4.72,0.72,1.52
0.2072,4.72,0.72,1.52
0.2076,4.72,0.72,1.52
0.208,4.72,0.72,1.52
0.2084,4.64,0.72,1.52
0.2088,4.64,0.72,1.6
0.2092,4.64,0.72,1.6
0.2096,4.64,0.72,1.6
0.21,4.64,0.72,1.68
0.2104,4.64,0.72,1.68
0.2108,4.64,0.72,1.68
0.2112,4.64,0.72,1.68
0.2116,4.64,0.72,1.76
0.212,4.64,0.72,1.76
0.2124,4.5600000000000005,0.72,1.76
0.2128,4.5600000000000005,0.72,1.76
0.2132,4.5600000000000005,0.72,1.84
0.2136,4.5600000000000005,0.72,1.84
0.214,4.5600000000000005,0.72,1.84
0.2144,4.5600000000000005,0.72,1.84
0.2148,4.5600000000000005,0.72,1.92
0.2152,4.5600000000000005,0.72,1.92
0.2156,4.5600000000000005,0.72,1.92
0.21600000000000003,4.5600000000000005,0.72,2.0
0.2164,4.5600000000000005,0.72,2.0
0.2168,4.5600000000000005,0.72,2.0
0.2172,4.48,0.72,2.0
0.2176,4.48,0.72,2.08
0.218,4.48,0.72,2.08
0.2184,4.48,0.72,2.08
0.2188,4.48,0.72,2.08
0.2192,4.48,0.72,2.16
0.2196,4.48,0.72,2.16
0.22,4.48,0.72,2.16
0.2204,4.48,0.72,2.24
0.2208,4.48,0.72,2.24
0.2212,4.48,0.72,2.24
0.2216,4.48,0.72,2.24
0.222,4.48,0.72,2.24
0.2224,4.48,0.72,2.32
0.2228,4.48,0.72,2.32
0.2232,4.4,0.72,2.32
0.2236,4.4,0.72,2.4
0.22399999999999998,4.4,0.72,2.4
0.2244,4.4,0.72,2.4
0.2248,4.4,0.72,2.48
0.2252,4.4,0.72,2.48
0.2256,4.4,0.72,2.48
0.226,4.4,0.72,2.48
0.2264,4.4,0.72,2.48
0.2268,4.4,0.72,2.56
0.2272,4.4,0.72,2.56
0.2276,4.32,0.72,2.56
0.228,4.32,0.72,2.56
0.2284,4.32,0.72,2.56
0.2288,4.32,0.72,2.64
0.2292,4.32,0.72,2.64
0.2296,4.32,0.72,2.64
0.23,4.32,0.72,2.72
0.2304,4.32,0.72,2.72
0.2308,4.32,0.72,2.72
0.2312,4.32,0.72,2.72
0.2316,4.24,0.72,2.8000000000000003
0.23199999999999998,4.32,0.72,2.8000000000000003
0.2324,4.24,0.72,2.8000000000000003
0.2328,4.24,0.72,2.8000000000000003
0.2332,4.24,0.72,2.88
0.2336,4.24,0.72,2.88
0.23399999999999999,4.24,0.72,2.88
0.23440000000000005,4.24,0.72,2.96
0.2348,4.24,0.72,2.96
0.2352,4.24,0.72,2.96
0.2356,4.24,0.72,2.96
0.236,4.24,0.72,3.04
0.2364,4.24,0.72,3.04
0.2368,4.24,0.72,3.04
0.2372,4.24,0.72,3.04
0.2376,4.24,0.72,3.12
0.238,4.16,0.72,3.12
0.2384,4.16,0.72,3.12
0.2388,4.16,0.72,3.2
0.2392,4.16,0.72,3.2
0.2396,4.16,0.72,3.2
0.24,4.16,0.72,3.2
0.2404,4.16,0.72,3.28
0.2408,4.16,0.72,3.28
0.2412,4.16,0.72,3.28
0.2416,4.16,0.72,3.28
0.242,4.16,0.72,3.28
0.2424,4.08,0.72,3.36
0.2428,4.08,0.72,3.36
0.2432,4.08,0.72,3.36
0.2436,4.08,0.72,3.44
0.244,4.08,0.72,3.44
0.2444,4.08,0.72,3.44
0.2448,4.08,0.72,3.44
0.2452,4.08,0.72,3.44
0.2456,4.08,0.72,3.52
0.246,4.08,0.72,3.52
0.2464,4.08,0.72,3.52
0.2468,4.08,0.72,3.52
0.2472,4.0,0.72,3.6
0.2476,4.0,0.72,3.6
0.248,4.0,0.72,3.68
0.2484,4.0,0.72,3.68
0.2488,4.0,0.72,3.68
0.2492,4.0,0.72,3.68
0.2496,4.0,0.72,3.76
0.25,4.0,0.72,3.76
0.2504,4.0,0.72,3.76
0.2508,4.0,0.72,3.76
0.25120000000000003,4.0,0.72,3.84
0.2516,4.0,0.72,3.84
0.252,4.0,0.72,3.84
0.2524,4.0,0.72,3.92
0.2528,4.0,0.72,3.92
0.25320000000000004,3.92,0.72,3.92
0.2536,4.0,0.72,3.92
0.254,3.92,0.72,4.0
0.2544,3.92,0.72,4.0
0.2548,3.92,0.72,4.0
0.25520000000000004,3.92,0.72,4.0
0.2556,3.92,0.72,4.0
0.256,3.92,0.72,4.08
0.2564,3.92,0.72,4.08
0.25680000000000003,3.92,0.72,4.08
0.25720000000000004,3.92,0.72,4.08
0.2576,3.92,0.72,4.16
0.258,3.92,0.72,4.16
0.2584,3.84,0.72,4.16
0.25880000000000003,3.84,0.72,4.24
0.2592,3.84,0.72,4.24
0.2596,3.84,0.72,4.24
0.26,3.84,0.72,4.24
0.2604,3.84,0.72,4.32
0.26080000000000003,3.84,0.72,4.32
0.2612,3.84,0.72,4.32
0.2616,3.84,0.72,4.32
0.262,3.76,0.72,4.4
0.2624,3.84,0.72,4.4
0.26280000000000003,3.76,0.72,4.4
0.2632,3.76,0.72,4.48
0.2636,3.76,0.72,4.48
0.264,3.76,0.72,4.48
0.2644,3.76,0.72,4.48
0.26480000000000004,3.76,0.72,4.5600000000000005
0.2652,3.76,0.72,4.5600000000000005
0.2656,3.76,0.72,4.5600000000000005
0.266,3.76,0.72,4.64
0.2664,3.76,0.72,4.64
0.26680000000000004,3.68,0.72,4.64
0.2672,3.68,0.72,4.72
0.2676,3.68,0.72,4.72
0.268,3.68,0.72,4.72
0.2684,3.68,0.72,4.72
0.26880000000000004,3.68,0.72,4.72
0.2692,3.68,0.72,4.8
0.2696,3.68,0.72,4.8
0.27,3.68,0.72,4.8
0.27040000000000003,3.68,0.72,4.8
0.27080000000000004,3.68,0.72,4.88
0.2712,3.68,0.72,4.88
0.2716,3.68,0.72,4.96
0.272,3.68,0.72,4.96
0.27240000000000003,3.68,0.72,4.96
0.2728,3.6,0.72,4.96
